ID	annotation	capital letters
GAMO_00019894	PRPF31	PRPF31
GAMO_00019899	CYTH2	CYTH2
GAMO_00019900	RPL18	RPL18
GAMO_00019963	CDC42	CDC42
GAMO_00019966	ENO2	ENO2
GAMO_00019986	unknown	UNKNOWN
GAMO_00019987	P3H3	P3H3
GAMO_00020011	TUBB	TUBB
GAMO_00020020	TRIM69	TRIM69
GAMO_00020154	PRSS1 	PRSS1 
GAMO_00020155	PRSS1 	PRSS1 
GAMO_00020158	PRSS1 	PRSS1 
GAMO_00020159	PRSS1	PRSS1
GAMO_00020160	Cbl	CBL
GAMO_00020170	apoe	APOE
GAMO_00020172	unknown	UNKNOWN
GAMO_00020174	unknown	UNKNOWN
GAMO_00020191	CADM4	CADM4
GAMO_00020196	unknown	UNKNOWN
GAMO_00020327	Sostdc1	SOSTDC1
GAMO_00020394	Vmo1	VMO1
GAMO_00020407	HES7	HES7
GAMO_00020487	nes	NES
GAMO_00020552	MCL1	MCL1
GAMO_00020642	Cationic	CATIONIC
GAMO_00020803	unknown	UNKNOWN
GAMO_00020983	Prss35	PRSS35
GAMO_00020985	Snap91	SNAP91
GAMO_00021005	BCKDHB	BCKDHB
GAMO_00021006	TTK	TTK
GAMO_00021079	MBP	MBP
GAMO_00021156	tgfb2	TGFB2
GAMO_00021302	Ncam1	NCAM1
GAMO_00021316	scgn	SCGN
GAMO_00021319	CNDP2	CNDP2
GAMO_00021553	ENTPD3	ENTPD3
GAMO_00021554	ENTPD3	ENTPD3
GAMO_00021657	Elovl4	ELOVL4
GAMO_00021698	COL6A6	COL6A6
GAMO_00021795	COL28A1	COL28A1
GAMO_00021947	GAPDH	GAPDH
GAMO_00021999	unknown	UNKNOWN
GAMO_00022001	unknown	UNKNOWN
GAMO_00022048	FLI1	FLI1
GAMO_00022064	Mag	MAG
GAMO_00022142	unknown	UNKNOWN
GAMO_00022143	Myl7	MYL7
GAMO_00022333	unknown	UNKNOWN
GAMO_00022344	Igsf9	IGSF9
GAMO_00022352	DPYSL2	DPYSL2
GAMO_00022354	BNIP3L	BNIP3L
GAMO_00022377	Nefl	NEFL
GAMO_00022391	KLHL22	KLHL22
GAMO_00022434	dbo	DBO
GAMO_00022519	sepm	SEPM
GAMO_00022768	Low	LOW
GAMO_00022834	NEFH	NEFH
GAMO_00022897	Prdm6	PRDM6
GAMO_00022952	P2RX2	P2RX2
GAMO_00023118	UBE2L3	UBE2L3
GAMO_00023124	SDF2L1	SDF2L1
GAMO_00023179	BIN2	BIN2
GAMO_00023181	ITGA5	ITGA5
GAMO_00023197	STMN3	STMN3
GAMO_00023202	Chia	CHIA
GAMO_00023205	Chia	CHIA
GAMO_00023213	Nfasc	NFASC
GAMO_00023272	MYH4	MYH4
GAMO_00023274	MYH4	MYH4
GAMO_00023313	CLDN19	CLDN19
GAMO_00023351	SLC6A13	SLC6A13
GAMO_00023356	TSPO	TSPO
GAMO_00023482	SLC16A1	SLC16A1
GAMO_00023579	Jph2	JPH2
GAMO_00023581	TUBA1C	TUBA1C
GAMO_00023583	Tuba1c	TUBA1C
GAMO_00023584	Tuba1c	TUBA1C
GAMO_00023597	SLC11A2	SLC11A2
GAMO_00023616	IGFBP6	IGFBP6
GAMO_00023647	L1CAM	L1CAM
GAMO_00023651	SLC25A20	SLC25A20
GAMO_00023653	TAZ	TAZ
GAMO_00023670	MRPL49	MRPL49
GAMO_00023721	unknown	UNKNOWN
GAMO_00023818	arf3	ARF3
GAMO_00023823	PA2G4	PA2G4
GAMO_00023838	LRP1	LRP1
GAMO_00023877	hoxc6a	HOXC6A
GAMO_00023895	HNRNPA1L2	HNRNPA1L2
GAMO_00023930	Mybph	MYBPH
GAMO_00023947	Csrp1	CSRP1
GAMO_00024107	Lmod1	LMOD1
GAMO_00024125	ppdpf	PPDPF
GAMO_00024127	Dnajc5	DNAJC5
GAMO_00024185	Ppp1r3a	PPP1R3A
GAMO_00024293	HSPA8	HSPA8
GAMO_00024320	SLC6A6	SLC6A6
GAMO_00024335	PCBP3	PCBP3
GAMO_00024517	Syn2	SYN2
GAMO_00024534	NUP210	NUP210
GAMO_00024670	CA6	CA6
GAMO_00024680	CACNA1S	CACNA1S
GAMO_00024696	Gdi1	GDI1
GAMO_00024738	unknown	UNKNOWN
GAMO_00024739	PFDN4	PFDN4
GAMO_00024745	IRX1	IRX1
GAMO_00024852	SPIC	SPIC
GAMO_00024864	KCNA10	KCNA10
GAMO_00024901	ATP6AP1	ATP6AP1
GAMO_00025083	col2a1	COL2A1
GAMO_00025134	PACSIN1	PACSIN1
GAMO_00025205	NFASC	NFASC
GAMO_00025258	STAC3	STAC3
GAMO_00025261	Kif5c	KIF5C
GAMO_00025356	l1cam	L1CAM
GAMO_00025393	ADCY6	ADCY6
GAMO_00025397	CACNB3	CACNB3
GAMO_00025506	TAF10	TAF10
GAMO_00025582	CELA2A	CELA2A
GAMO_00025583	CTRC	CTRC
GAMO_00025643	NECAB1	NECAB1
GAMO_00025644	MYH4	MYH4
GAMO_00025654	unknown	UNKNOWN
GAMO_00025672	Dctd	DCTD
GAMO_00025731	MYH4	MYH4
GAMO_00025870	TNS2	TNS2
GAMO_00025882	SRGAP3	SRGAP3
GAMO_00025909	unknown	UNKNOWN
GAMO_00026024	SYP	SYP
GAMO_00026067	KCND2	KCND2
GAMO_00026162	LAMA5	LAMA5
GAMO_00026191	TNNC2	TNNC2
GAMO_00026615	L3MBTL1	L3MBTL1
GAMO_00026679	C1ql4	C1QL4
GAMO_00026758	CHL1	CHL1
GAMO_00026904	RHOA	RHOA
GAMO_00026907	TNNC1	TNNC1
GAMO_00026961	RTCA	RTCA
GAMO_00027126	MYOC	MYOC
GAMO_00027221	Mylk4	MYLK4
GAMO_00027352	IFI44L	IFI44L
GAMO_00027454	ADCYAP1R1	ADCYAP1R1
GAMO_00027530	SCIN	SCIN
GAMO_00027756	unknown	UNKNOWN
GAMO_00027805	USP13	USP13
GAMO_00027827	Cldn1	CLDN1
GAMO_00028044	NCL	NCL
GAMO_00028055	Galactose-specific	GALACTOSE-SPECIFIC
GAMO_00028303	NEXN	NEXN
GAMO_00028785	LMNB2	LMNB2
GAMO_00028812	unknown	UNKNOWN
GAMO_00028853	Dsg2	DSG2
GAMO_00028922	unknown	UNKNOWN
GAMO_00028989	Rgs5	RGS5
GAMO_00029082	unknown	UNKNOWN
GAMO_00029144	PDE4B	PDE4B
GAMO_00029152	Pde4b	PDE4B
GAMO_00029360	tpm1	TPM1
GAMO_00029374	unknown	UNKNOWN
GAMO_00029375	GCLM	GCLM
GAMO_00029376	DNTTIP2	DNTTIP2
GAMO_00029534	S1PR4	S1PR4
GAMO_00029693	CILP	CILP
GAMO_00029718	Dos	DOS
GAMO_00029888	unknown	UNKNOWN
GAMO_00030005	EBNA1BP2	EBNA1BP2
GAMO_00030180	SOX2	SOX2
GAMO_00030251	PDE4DIP	PDE4DIP
GAMO_00030320	ARPC5	ARPC5
GAMO_00030467	unknown	UNKNOWN
GAMO_00030469	ANXA13	ANXA13
GAMO_00030622	Slc12a2	SLC12A2
GAMO_00030623	Slc12a2	SLC12A2
GAMO_00030834	Lurap1	LURAP1
GAMO_00030839	TFRC	TFRC
GAMO_00030864	ATP13A3	ATP13A3
GAMO_00030867	NCL	NCL
GAMO_00030895	SEP15	SEP15
GAMO_00030960	UQCRH	UQCRH
GAMO_00031018	ANGPTL4	ANGPTL4
GAMO_00031023	Cnn2	CNN2
GAMO_00031209	PTPRD	PTPRD
GAMO_00031266	SF3A2	SF3A2
GAMO_00031408	SCG2	SCG2
GAMO_00031518	EEF1D	EEF1D
GAMO_00031578	GATA6	GATA6
GAMO_00031623	Myl3	MYL3
GAMO_00031629	TMIE	TMIE
GAMO_00031696	nmnat2	NMNAT2
GAMO_00031725	adhfe1	ADHFE1
GAMO_00031726	unknown	UNKNOWN
GAMO_00031921	SELENOP	SELENOP
GAMO_00031979	unknown	UNKNOWN
GAMO_00031980	MYH7	MYH7
GAMO_00031984	AMPH	AMPH
GAMO_00032022	Casq1	CASQ1
GAMO_00032033	Hhatl	HHATL
GAMO_00032090	MCM6	MCM6
GAMO_00032120	unknown	UNKNOWN
GAMO_00032128	TRNAU1AP	TRNAU1AP
GAMO_00032136	Astn1	ASTN1
GAMO_00032241	unknown	UNKNOWN
GAMO_00032242	ASPH	ASPH
GAMO_00032245	TTPA	TTPA
GAMO_00032248	XPR1	XPR1
GAMO_00032316	GTPBP4	GTPBP4
GAMO_00032317	GTPBP4	GTPBP4
GAMO_00032325	PFKP	PFKP
GAMO_00032418	EPDR1	EPDR1
GAMO_00032582	Amy1	AMY1
GAMO_00032649	tpm1	TPM1
GAMO_00032715	APOD	APOD
GAMO_00032784	SCHIP1	SCHIP1
GAMO_00032869	Glucagon	GLUCAGON
GAMO_00032885	unknown	UNKNOWN
GAMO_00032899	ACKR4	ACKR4
GAMO_00032923	Tubb2a	TUBB2A
GAMO_00032997	Bcl2	BCL2
GAMO_00033079	tf	TF
GAMO_00033087	Thap4	THAP4
GAMO_00033088	KIF1A	KIF1A
GAMO_00033097	Rab6b	RAB6B
GAMO_00033128	TNN	TNN
GAMO_00033134	IRF4	IRF4
GAMO_00033158	MYLK4	MYLK4
GAMO_00033160	Mylk3	MYLK3
GAMO_00033170	CYP8B1	CYP8B1
GAMO_00033208	unknown	UNKNOWN
GAMO_00033285	CEBPD	CEBPD
GAMO_00033462	cavin4	CAVIN4
GAMO_00033507	unknown	UNKNOWN
GAMO_00033519	SDHC	SDHC
GAMO_00033520	ATP1A2	ATP1A2
GAMO_00033527	unknown	UNKNOWN
GAMO_00033530	mpz	MPZ
GAMO_00033880	RDH12	RDH12
GAMO_00033881	SEC61G	SEC61G
GAMO_00033952	F3	F3
GAMO_00034088	PLCB1	PLCB1
GAMO_00034309	unknown	UNKNOWN
GAMO_00034421	MYOZ1	MYOZ1
GAMO_00034439	Synpo2l	SYNPO2L
GAMO_00034551	SF3B5	SF3B5
GAMO_00034625	CHRM3	CHRM3
GAMO_00034636	GREM2	GREM2
GAMO_00034656	SLC16A9	SLC16A9
GAMO_00034718	CHST15	CHST15
GAMO_00034724	FAM53B	FAM53B
GAMO_00034912	RHOQ	RHOQ
GAMO_00035064	SLC18A2	SLC18A2
GAMO_00035066	Kcnk18	KCNK18
GAMO_00035083	PNLIPRP1	PNLIPRP1
GAMO_00035163	ADD3	ADD3
GAMO_00035238	SDHAF4	SDHAF4
GAMO_00035240	TLX1	TLX1
GAMO_00035462	lzts2	LZTS2
GAMO_00035487	EIF4E	EIF4E
GAMO_00035568	SNCG	SNCG
GAMO_00035636	ANKRD1	ANKRD1
GAMO_00035687	BMPR1A	BMPR1A
GAMO_00035692	MMRN2	MMRN2
GAMO_00035762	DNPH1	DNPH1
GAMO_00035788	QKI	QKI
GAMO_00035802	NLRC3	NLRC3
GAMO_00035826	unknown	UNKNOWN
GAMO_00035846	unknown	UNKNOWN
GAMO_00035905	Smoc2	SMOC2
GAMO_00035981	ABLIM1	ABLIM1
GAMO_00036014	MRPL2	MRPL2
GAMO_00036096	DISC1	DISC1
GAMO_00036304	CAPN2	CAPN2
GAMO_00036329	Oit3	OIT3
GAMO_00036343	SLC29A3	SLC29A3
GAMO_00036498	THBS2	THBS2
GAMO_00036647	klhl31	KLHL31
GAMO_00036677	PLAU	PLAU
GAMO_00036684	Cdc42ep3	CDC42EP3
GAMO_00036767	RET	RET
GAMO_00036784	Mypn	MYPN
GAMO_00036875	WDFY4	WDFY4
GAMO_00037006	unknown	UNKNOWN
GAMO_00037265	RFK	RFK
GAMO_00037275	ZBED4	ZBED4
GAMO_00037297	NLRC3	NLRC3
GAMO_00037330	CDA	CDA
GAMO_00037670	S100B	S100B
GAMO_00037706	RPN1	RPN1
GAMO_00037739	MUSTN1	MUSTN1
GAMO_00037740	STIMATE	STIMATE
GAMO_00037742	SFMBT1	SFMBT1
GAMO_00037858	snai1	SNAI1
GAMO_00037924	BHLHE40	BHLHE40
GAMO_00038026	COL2A1	COL2A1
GAMO_00038240	unknown	UNKNOWN
GAMO_00038295	EGR2	EGR2
GAMO_00038356	SUCLG2	SUCLG2
GAMO_00038359	SUCLG2	SUCLG2
GAMO_00038429	PSMD6	PSMD6
GAMO_00038457	unknown	UNKNOWN
GAMO_00038467	GLRX	GLRX
GAMO_00038475	NOP56	NOP56
GAMO_00038522	LSM3	LSM3
GAMO_00038543	PCK1	PCK1
GAMO_00038571	unknown	UNKNOWN
GAMO_00038578	MYL9	MYL9
GAMO_00038623	Kiaa1024	KIAA1024
GAMO_00038653	MYL2	MYL2
GAMO_00038862	SLC38A3	SLC38A3
GAMO_00038863	RBM5	RBM5
GAMO_00038870	RRP9	RRP9
GAMO_00038986	MRPL20	MRPL20
GAMO_00039187	Slc38a3	SLC38A3
GAMO_00039235	SEC61A1	SEC61A1
GAMO_00039244	unknown	UNKNOWN
GAMO_00039381	Znf385a	ZNF385A
GAMO_00039394	endou	ENDOU
GAMO_00039396	MYL6	MYL6
GAMO_00039441	Scn8a	SCN8A
GAMO_00039613	DES	DES
GAMO_00039616	PMEL	PMEL
GAMO_00039670	PNP	PNP
GAMO_00039717	Slc2a1	SLC2A1
GAMO_00039826	SYT1	SYT1
GAMO_00039860	CSRP1	CSRP1
GAMO_00039866	TNNT2	TNNT2
GAMO_00039873	Tulp1	TULP1
GAMO_00039890	KCNA10	KCNA10
GAMO_00040009	unknown	UNKNOWN
GAMO_00040137	UQCC1	UQCC1
GAMO_00040162	GUCA2B	GUCA2B
GAMO_00040492	PPP6C	PPP6C
GAMO_00040568	SET	SET
GAMO_00040624	PRF1	PRF1
GAMO_00040625	PRF1	PRF1
GAMO_00040631	RAD17	RAD17
GAMO_00040771	gatc	GATC
GAMO_00040795	OLFM1	OLFM1
GAMO_00040798	C9orf116	C9ORF116
GAMO_00040833	GSTT1	GSTT1
GAMO_00040851	unknown	UNKNOWN
GAMO_00040863	CEL	CEL
GAMO_00040957	PLA2G1B	PLA2G1B
GAMO_00040960	PLA2G1B	PLA2G1B
GAMO_00041016	Ccdc92	CCDC92
GAMO_00041060	fzd10-a	FZD10-A
GAMO_00041113	HMCN1	HMCN1
GAMO_00041122	Angptl2	ANGPTL2
GAMO_00041195	SYN1	SYN1
GAMO_00041205	PHYHIP	PHYHIP
GAMO_00041340	KMT5A	KMT5A
GAMO_00041377	USP39	USP39
GAMO_00041431	HIST2H2BE	HIST2H2BE
GAMO_00041470	UPB1	UPB1
GAMO_00041544	TRIM36	TRIM36
GAMO_00041636	Pgm5	PGM5
GAMO_00041719	unknown	UNKNOWN
GAMO_00041756	unknown	UNKNOWN
GAMO_00041836	UGT3A1	UGT3A1
GAMO_00041840	bhmt	BHMT
GAMO_00041870	ADRA2B	ADRA2B
GAMO_00041876	PCNA	PCNA
GAMO_00041888	unknown	UNKNOWN
GAMO_00041895	CLDN5	CLDN5
GAMO_00041941	ANXA1	ANXA1
GAMO_00041977	CELA2A	CELA2A
GAMO_00041985	GFRA2	GFRA2
GAMO_00042157	Dbn1	DBN1
GAMO_00042203	HAPLN1	HAPLN1
GAMO_00042221	unknown	UNKNOWN
GAMO_00042247	UNC45B	UNC45B
GAMO_00042464	Prune2	PRUNE2
GAMO_00042509	PDLIM5	PDLIM5
GAMO_00042542	unknown	UNKNOWN
GAMO_00042554	GKAP1	GKAP1
GAMO_00042589	NR6A1	NR6A1
GAMO_00042590	ADGRD2	ADGRD2
GAMO_00042608	GLIPR2	GLIPR2
GAMO_00042610	GLIPR2	GLIPR2
GAMO_00042616	CYR61	CYR61
GAMO_00042772	ADAMTS3	ADAMTS3
GAMO_00042797	FBP1	FBP1
GAMO_00042881	Iglon5	IGLON5
